x_m,y_m,s_m,width_m
4.61475,2.40650,2.38277,0.1200
4.63495,2.40650,2.40296,0.1200
4.65514,2.40650,2.42316,0.1200
4.67533,2.40650,2.44335,0.1200
4.69553,2.40650,2.46354,0.1200
4.71572,2.40650,2.48374,0.1200
4.73591,2.40650,2.50393,0.1200
4.75611,2.40650,2.52412,0.1200
4.77630,2.40650,2.54432,0.1200
4.79649,2.40650,2.56451,0.1200
4.81668,2.40650,2.58470,0.1200
4.83688,2.40650,2.60489,0.1200
4.85707,2.40650,2.62509,0.1200
4.87726,2.40650,2.64528,0.1200
4.89746,2.40650,2.66547,0.1200
4.91765,2.40650,2.68567,0.1200
4.93784,2.40650,2.70586,0.1200
4.95804,2.40650,2.72605,0.1200
4.97823,2.40650,2.74625,0.1200
4.99842,2.40650,2.76644,0.1200
5.01861,2.40650,2.78663,0.1200
5.03881,2.40650,2.80682,0.1200
5.05900,2.40650,2.82702,0.1200
