x_m,y_m,s_m
10.12794,10.70663,4.23954
10.12788,10.72645,4.25953
10.12784,10.74636,4.27953
10.12780,10.76653,4.29953
10.12772,10.78670,4.31953
10.12764,10.80662,4.33952
10.12758,10.82644,4.35952
10.12754,10.84635,4.37952
10.12750,10.86652,4.39952
10.12742,10.88669,4.41952
10.12734,10.90669,4.43951
10.12726,10.92669,4.45951
10.12718,10.94669,4.47951
10.12710,10.96651,4.49951
10.12706,10.98634,4.51951
10.12702,11.00641,4.53950
10.12696,11.02659,4.55950
10.12688,11.04667,4.57950
10.12680,11.06650,4.59950
10.12676,11.08632,4.61949
10.12672,11.10640,4.63949
10.12666,11.12657,4.65949
10.12658,11.14666,4.67949
10.12650,11.16649,4.69949
10.12646,11.18631,4.71948
10.12642,11.20639,4.73948
10.12636,11.22656,4.75948
10.12628,11.24665,4.77948
10.12620,11.26648,4.79947
10.12616,11.28630,4.81947
10.12612,11.30638,4.83947
10.12606,11.32655,4.85947
10.12598,11.34664,4.87947
10.12590,11.36647,4.89946
10.12586,11.38629,4.91946
10.12582,11.40637,4.93946
10.12576,11.42654,4.95946
10.12568,11.44663,4.97945
10.12560,11.46663,4.99945
10.12552,11.48662,5.01945
10.12544,11.50654,5.03945
10.12538,11.52636,5.05945
10.12534,11.54627,5.07944
10.12530,11.56644,5.09944
10.12522,11.58661,5.11944
10.12514,11.60653,5.13944
10.12508,11.62635,5.15943
10.12504,11.64626,5.17943
10.12500,11.66642,5.19943
10.12492,11.68660,5.21943
10.12484,11.70652,5.23943
10.12478,11.72634,5.25942
10.12474,11.74624,5.27942
10.12470,11.76641,5.29942
10.12462,11.78658,5.31942
10.12454,11.80651,5.33942
10.12448,11.82633,5.35941
10.12444,11.84623,5.37941
10.12440,11.86606,5.39941
10.12440,11.88588,5.41941
10.12440,11.90571,5.43940
10.12444,11.92536,5.45940
10.12452,11.94517,5.47940
10.12460,11.96517,5.49940
10.12468,11.98517,5.51940
10.12476,12.00525,5.53939
10.12482,12.02542,5.55939
10.12486,12.04551,5.57939
10.12490,12.06602,5.59939
10.12482,12.08654,5.61938
