x_m,y_m,s_m
9.77794,10.70540,4.23954
9.77788,10.72557,4.25953
9.77784,10.74566,4.27953
9.77780,10.76549,4.29953
9.77772,10.78531,4.31953
9.77764,10.80539,4.33952
9.77758,10.82556,4.35952
9.77754,10.84565,4.37952
9.77750,10.86548,4.39952
9.77742,10.88530,4.41952
9.77734,10.90529,4.43951
9.77726,10.92529,4.45951
9.77718,10.94529,4.47951
9.77710,10.96545,4.49951
9.77706,10.98563,4.51951
9.77702,11.00555,4.53950
9.77696,11.02537,4.55950
9.77688,11.04527,4.57950
9.77680,11.06544,4.59950
9.77676,11.08562,4.61949
9.77672,11.10554,4.63949
9.77666,11.12536,4.65949
9.77658,11.14526,4.67949
9.77650,11.16543,4.69949
9.77646,11.18560,4.71948
9.77642,11.20552,4.73948
9.77636,11.22535,4.75948
9.77628,11.24525,4.77948
9.77620,11.26542,4.79947
9.77616,11.28559,4.81947
9.77612,11.30551,4.83947
9.77606,11.32534,4.85947
9.77598,11.34524,4.87947
9.77590,11.36541,4.89946
9.77586,11.38558,4.91946
9.77582,11.40550,4.93946
9.77576,11.42532,4.95946
9.77568,11.44523,4.97945
9.77560,11.46523,4.99945
9.77552,11.48522,5.01945
9.77544,11.50530,5.03945
9.77538,11.52548,5.05945
9.77534,11.54557,5.07944
9.77530,11.56540,5.09944
9.77522,11.58522,5.11944
9.77514,11.60529,5.13944
9.77508,11.62547,5.15943
9.77504,11.64556,5.17943
9.77500,11.66538,5.19943
9.77492,11.68521,5.21943
9.77484,11.70528,5.23943
9.77478,11.72545,5.25942
9.77474,11.74554,5.27942
9.77470,11.76537,5.29942
9.77462,11.78520,5.31942
9.77454,11.80527,5.33942
9.77448,11.82544,5.35941
9.77444,11.84553,5.37941
9.77440,11.86570,5.39941
9.77440,11.88587,5.41941
9.77440,11.90604,5.43940
9.77444,11.92639,5.45940
9.77452,11.94657,5.47940
9.77460,11.96657,5.49940
9.77468,11.98657,5.51940
9.77476,12.00648,5.53939
9.77482,12.02631,5.55939
9.77486,12.04621,5.57939
9.77490,12.06570,5.59939
9.77482,12.08517,5.61938
9.77475,12.10483,5.63938
9.77460,12.12412,5.65938
9.77436,12.14375,5.67938
9.77414,12.16239,5.69938
9.77363,12.18097,5.71937
9.77309,12.20010,5.73937
9.77241,12.21834,5.75937
9.77149,12.23739,5.77937
9.77064,12.25533,5.79936
9.76936,12.27318,5.81936
9.76802,12.29183,5.83936
9.76652,12.30911,5.85935
9.76462,12.32760,5.87935
9.76292,12.34444,5.89935
9.76059,12.36111,5.91935
9.75805,12.37934,5.93935
9.75545,12.39597,5.95934
9.75226,12.41401,5.97934
9.74939,12.43044,5.99934
9.74587,12.44663,6.01933
9.74201,12.46443,6.03933
9.73822,12.48041,6.05932
9.73365,12.49792,6.07932
9.72949,12.51402,6.09932
9.72469,12.52982,6.11932
9.71937,12.54738,6.13932
9.71423,12.56330,6.15931
9.70828,12.58056,6.17931
9.70273,12.59674,6.19931
9.69663,12.61262,6.21930
9.68999,12.62997,6.23930
9.68360,12.64591,6.25930
9.67643,12.66295,6.27929
9.66962,12.67916,6.29929
9.66238,12.69508,6.31929
9.65436,12.71271,6.33929
9.64646,12.72980,6.35928
9.63820,12.74732,6.37928
9.63007,12.76459,6.39928
9.62176,12.78174,6.41928
9.61419,12.79742,6.43928
9.60749,12.81029,6.45926
9.59907,12.82515,6.47926
9.59045,12.84046,6.49926
9.58143,12.85543,6.51926
9.57226,12.87067,6.53925
9.56398,12.88369,6.55925
9.55413,12.89822,6.57924
9.54569,12.91082,6.59924
9.53657,12.92271,6.61924
9.52537,12.93739,6.63924
9.51479,12.95082,6.65923
9.50311,12.96511,6.67923
9.49532,12.97489,6.69923
9.48670,12.98354,6.71922
9.47435,12.99619,6.73922
9.46315,13.00714,6.75921
9.45016,13.01915,6.77921
9.43896,13.02961,6.79921
9.42727,13.03926,6.81920
9.41470,13.04972,6.83920
9.40478,13.05730,6.85918
9.39162,13.06637,6.87918
9.37985,13.07465,6.89918
9.36766,13.08188,6.91917
9.35284,13.09078,6.93917
9.34013,13.09792,6.95916
9.32494,13.10576,6.97916
9.31184,13.11264,6.99915
9.29847,13.11850,7.01915
9.28304,13.12535,7.03915
9.27032,13.13048,7.05913
9.25466,13.13606,7.07913
9.24097,13.14106,7.09913
9.22717,13.14498,7.11913
9.21026,13.14986,7.13912
9.19548,13.15371,7.15911
9.17846,13.15761,7.17911
9.16269,13.16128,7.19911
9.14690,13.16415,7.21911
9.12915,13.16741,7.23910
9.11327,13.16998,7.25910
9.09553,13.17240,7.27909
9.07855,13.17475,7.29909
9.06162,13.17649,7.31909
9.04338,13.17836,7.33909
9.02679,13.17977,7.35908
9.00863,13.18093,7.37908
8.99069,13.18209,7.39908
8.97282,13.18281,7.41908
8.95355,13.18358,7.43907
8.93496,13.18419,7.45907
8.91572,13.18465,7.47907
8.89658,13.18511,7.49907
8.87746,13.18539,7.51906
8.85750,13.18567,7.53906
8.83750,13.18595,7.55906
8.81751,13.18623,7.57906
8.79667,13.18652,7.59905
8.77580,13.18701,7.61905
8.75562,13.18750,7.63905
8.73527,13.18802,7.65905
8.71510,13.18859,7.67905
8.69695,13.18910,7.69904
8.67888,13.18922,7.71904
8.66057,13.18934,7.73904
8.64407,13.18913,7.75903
8.62598,13.18851,7.77903
8.60919,13.18797,7.79903
8.59257,13.18676,7.81903
8.57454,13.18547,7.83902
8.55847,13.18398,7.85902
8.54067,13.18189,7.87901
8.52400,13.17998,7.89901
8.50757,13.17741,7.91901
8.48964,13.17463,7.93901
8.47364,13.17181,7.95900
8.45602,13.16828,7.97900
8.44028,13.16518,7.99900
8.42488,13.16132,8.01899
8.40771,13.15705,8.03899
8.39293,13.15298,8.05898
8.37622,13.14783,8.07898
8.36088,13.14317,8.09898
8.34597,13.13780,8.11897
8.32909,13.13174,8.13897
8.31425,13.12605,8.15896
8.29783,13.11924,8.17896
8.28321,13.11325,8.19896
8.26911,13.10656,8.21896
8.25291,13.09890,8.23895
8.23874,13.09182,8.25895
8.22309,13.08346,8.27894
8.20945,13.07626,8.29894
8.19644,13.06836,8.31894
8.18156,13.05937,8.33894
8.16920,13.05143,8.35893
8.15513,13.04167,8.37892
8.14231,13.03289,8.39892
8.13019,13.02349,8.41892
8.11585,13.01243,8.43892
8.10317,13.00223,8.45891
8.08943,12.99064,8.47891
8.07712,12.98031,8.49890
8.06546,12.96950,8.51890
8.05297,12.95796,8.53890
8.04315,12.94826,8.55888
8.03180,12.93611,8.57888
